;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x
CRC;Curacao;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CRC_ADJ;Curacao;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARB;Aruba;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARB_ADJ;Aruba;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SKN;Saint Kitts and Nevis;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SKN_ADJ;Saint Kitts and Nevis;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BHM;Bahamas;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BHM_ADJ;Bahamas;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TAC;Turks and Caicos;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TAC_ADJ;Turks and Caicos;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
VNI;Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
VNI_ADJ;Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SNM;Saint Martin;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SNM_ADJ;Saint Martin;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB;Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_ADJ;Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SBL;Saint Barthelemy;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SBL_ADJ;Saint Barthelemy;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
MTT;Montserrat;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
